input,output
三藏抓住道：“徒弟，你去哪里找他？怕他偷偷出现，不仅伤害我，还会连累其他人。那时候人马都会丧命，怎么办！”,三藏却才扯住道：“徒弟啊，你那里去寻他？ 只怕他暗地里撺将出来，却不又连我都害了？那时节人马两亡，怎生是好！”
神僧在这里大声斥责，手持钯棒一同出击。,这壁厢神僧叱喝，钯棒齐兴。
眼睛明亮如明镜，眉毛鲜艳如红霓。,一双眼光如明镜，两道眉艳似红霓。
在这一刻，君臣们一同注视着那只老虎，它长得：白额宽阔，身体花斑，眼睛炯炯有神。,此时君臣同眼观看，那只虎生得：白额圆头，花身电目。
"八戒问：“哥哥怎么能确定距离呢？""",八戒道：“哥哥怎的定得个远近之数？”
沙僧问：“你怎么认出他是谁？”,沙僧道：“你怎么认得是他？”
烟雾弥漫，霞光映衬着湿润的氛围；苔藓悄然生长，为新绿增添了一抹生机。,烟霞含宿润，苔藓助新青。
孙大圣只好皈依，不再贸然行事，静静地站在宝莲台下。,孙大圣只得皈依，不敢造次，侍立于宝莲台下不题。
"""行者问：“那座山在什么地方？”""",”行者道：“那山坐落何方？
那条人行道说：“八百里都被冻得像镜子一样光滑，路口还有人走过呢！”,那行人道：“把八百里都冻的似镜面一般，路口上有人走哩！”
那些设置供品的诸神，摆放着华丽的宴席，里里外外都弥漫着神奇的味道，无论是仙茶、仙果，还是珍贵的佳肴，都与凡间截然不同。,只见那设供的诸神，铺排斋宴，并皆是仙品、仙肴、仙茶、仙果，珍馐百味，与凡世不同。
恨了一声，随手扔出手中的宝珠净瓶，投入海心深处。这一举动吓得行者毛骨悚然，立刻站起身来，恭敬地站在下面，说道：“这菩萨脾气真是火爆，老孙的话可能说得有些不客气，破坏了他的品德，只好将净瓶扔了。实在可惜！如果早知道能送给老孙，那可是一件大事啊！”,恨了一声，将手中宝珠净瓶往海心里扑的一掼，唬得那行者毛骨竦然，即起身侍立下面，道：“这菩萨火性不退，好是怪老孙说的话不好，坏了他的德行，就把净瓶掼了。可惜！可惜！早知送了我老孙，却不是一件大人事？”
门里的小妖匆忙地告诉大王：“门外有人找师父！”,慌得那门里小妖急报：“大王，门外有人要师父哩！”
三藏说：“我可能说的话有点过头了，让你不满，让我失去耐心。你有能力的人，去拿茶来喝；我没法动弹的，只能在这里忍着饥饿，你也很为难吧！”,三藏道：“我略略的言语重了些儿，你就怪我，使个性子丢了我去。象你这有本事的，讨得茶吃；象我这去不得的，只管在此忍饿，你也过意不去呀！”
行者把请灵吉降妖的事情告诉了师父，师父非常感激。,行者将那请灵吉降妖的事情，陈了一遍，师父谢之不尽。
经过半个小时的等待，四周突然冒出四十条蛇，对它们展开了攻击。,耐到半个时辰，四周围钻出四十条蛇来咬。
《姻词云》：结婚！,《姻词云》：姻！
到达宫外时，已经有二十八宿星辰前来迎接。天师道说道：“我受圣旨，指示四木禽星和孙大圣下界降妖。”,及至宫外，早有二十八宿星辰来接，天师道：“吾奉圣旨，教点四木禽星与孙大圣下界降妖。”
鲇外郎查找到文簿，指令龙兵离开波浪。,鲇外郎查明文簿，点龙兵出离波中。
老孙归来山中，历经无穷变化，经验丰富。,老孙得道取归山，无穷变化多经验。
不久之后，肚子发出咕噜声，像是车轮转动般的声音，于是我拿起了干净的桶，走了三五次，喝了一些米浆，然后倒在龙床上了。,不多时，腹中作响，如辘轳之声不绝，即取净桶，连行了三五次，服了些米饮，敧倒在龙床之上。
国王说：“拿唐天子颁发的文书来看。”,国王道：“既有唐天子文牒，取上来看。”
再次看到了山头上花开花谢的景色，云来云去间，岭上峰影朦胧。,又见些花开花谢山头景，云去云来岭上峰。
大圣腾那弄本事，毫毛换金绳。,这个是大圣腾那弄本事毫毛又换幌金绳。
行者问道：“这是怎么个狠法？”,行者道：“怎的狠？”
老人抬头，看到三藏的面貌奇特，停下来问：“你是哪座寺庙的和尚，带着那个坏人来找我？”,”老者抬头，见了三藏的面貌清奇，方然立定，问道：“你是那寺里来的和尚，带这恶人上我门来？
在暮春的天气里，大家聚集在松树下，一起聆听经文、参禅悟道，谈论着深奥的奥秘。,一日，暮春天气，众人同在松阴之下，讲经参禅，谈说奥妙。
却停留在半空中，凝视着那片祥云，然后俯身观察。,却在那半空里留住祥云，低头观看。
大圣说道：“我是按照玉帝的命令来管理蟠桃园的，现在来查看情况。”,大圣道：“吾奉玉帝点差，代管蟠桃园，今来查勘也。”
大圣在丹房里找大圣，没找到，看到丹灶旁有火。,这大圣直至丹房里面，寻访不遇，但见丹灶之旁，炉中有火。
行者说：“应该行君臣之礼，需要跪拜了。”,行者道：“行君臣礼，就要下拜哩。”
在他半飞半跳的时候，当近距离观察时，可以看到他身上的包袱闪闪发光。,他半飞半跳，近于光前看时，却是包袱放光。
玉帝欣喜不已，立即授予托塔天王李靖降魔大元帅的称号，而哪吒三太子则被封为三坛海会大神，立即率军前往下界。,玉帝大喜，即封托塔天王李靖为降魔大元帅，哪吒三太子为三坛海会大神，即刻兴师下界。
八戒说：“我的肚子不疼了，感觉胎气已经散了，没什么事情了，还需要喝水吗？”,八戒道：“我的肚腹也不疼了，胎气想是已行散了，洒然无事，又吃水何为？”
抱着青蒿，怀中抱着一束娘蒿，灯娥儿飞上了板荞荞。,斜蒿青蒿抱娘蒿，灯娥儿飞上板荞荞。
老妪说：“长老远道而来，请大家保重自己，不必客气。”,老妪道：“长老远客，各请自珍，不劳拜罢。”
翠绿的松林交错，各种奇异的花卉绽放着。,密密松篁交翠，纷纷异卉奇葩。
行者恭敬地低头说道：“在五庄观时，弟子对镇元大仙毫不知情，不小心毁了他的人参果树，得罪了他，于是他阻挡了我师父，使我们无法继续前行。”,”行者顿首道：“因是在五庄观，弟子不识镇元大仙，毁伤了他的人参果树，冲撞了他，他就困滞了我师父，不得前进。
秋海棠胜过一切，腊梅树重新焕发生机，长出了新的枝条。,秋海棠，全然压倒；腊梅树，聊发新枝。
在正序的叙述中，突然听到里面门打开的声音，接着又走出来一个老者，拄着拐杖问道：“这到底是谁在捣乱，竟然在深夜里来到我的善门之家？”,正叙坐间，只听得里面门开处，又走出一个老者，拄着拐杖道：“是甚么邪魔，黑夜里来我善门之家？”
手持闪亮的刀，刀光闪闪；躺在光滑的石上，石面细腻无瑕。,拿的一口刀，精光耀映；眠的一块石，细润无瑕。
经过漫长的学习，我终于掌握了飞腾的法术，经过日积月累的修炼，我的容貌也发生了改变。,年深学得飞腾法，日久修成变化颜。
沙僧感到非常惭愧，赶紧掩饰过去，整理好行李，然后把马匹背好，等待在途中。这一切都不再被提起。,沙僧也甚生惭愧，连忙遮掩，收拾行李，扣背马匹，都在途中等候不题。
众僧对这件事感到困惑，于是请出了那位老僧。老僧见到行者，连忙倒身下拜，问道：“老爷，公主的事情怎么样了？”,众僧不解其意，即请出那老僧，老僧见了行者，倒身下拜道：“老爷，公主之事如何？”
真相显露，力量减弱，全身酸痛，眼泪止不住流下，突然大声喊道：“师父，我们一起在山上苦练，面对大海无畏，却在阴沟里遇到了风浪！”,出来现了本相，力软筋麻，浑身疼痛，止不住眼中流泪，忽失声叫道：“师父啊！当年秉教出山中，共往西来苦用工。大海洪波无恐惧，阳沟之内却遭风！”
牛王是否会出现，亥月木生，配属猪，将牛带回土中。,管甚牛王会不会，木生在亥配为猪，牵转牛儿归土类。
我从小出家为僧，精通佛教经典，实在不明白为何有人会说我不会写字。,我自幼为僧，千经万典皆通，怎么说我不识字？
赌博输赢，争吵激烈，言辞犀利。,一冲一撞赌输赢，劖语劖言齐斗嘴。
山顶上的风吹着它飘荡了半个多小时，然后才降落下来。,被那山顶上风吹去，飘飘荡荡，足有半个时辰，方才落下。
看那星桥摇动，影幌动乾坤，数株火树摇曳着红光。,星桥影幌乾坤动，看数株火树摇红。
那长老在灯光下看到三个徒弟被捆绑在地，老师父躺在行者身边哭泣着说：“徒弟啊，平时遇到困难时，你总是在外面施展神通去寻求帮助来降魔。这次你也被抓住了，我怎么能生存下来！”,那长老于灯光前，忽见三个徒弟都捆在地下，老师父伏于行者身边，哭道：“徒弟啊！常时逢难，你却在外运用神通，到那里取救降魔，今番你亦遭擒，我贫僧怎么得命！”
龙王率领水兵，浩浩荡荡地返回，令人叹为观止。,龙王帅水族，泱泱而回，不在话下。
长老听后很高兴，给马加鞭，放开缰绳，让马像蛟龙一样飞奔。,长老闻言甚喜，加鞭催骏马，放辔趱蛟龙。
行者说：“他只说衣服没脱，还在床上。”,”行者道：“他只说衣不解带，身未沾床。
听到这话，那老魔陷入了沉思。,那老魔闻得此言。
在夕阳西下的时候，妖邪的力量已经衰弱，无法再抵挡。,当时杀至日头西，妖邪力软难相抵。
行者说：“有。”,行者道：“有。”
妖精说：“你那里吃素，很穷很苦；我这里吃人肉，很好吃！如果你饿了我，你有罪。”,妖精道：“你那里持斋把素，极贫极苦；我这里吃人肉，受用无穷！你若饿坏了我，你有罪愆。”
悟空欢欣，热情留下一顿宴席，却不愿久留。于是与金星一道驾着祥云，飘然抵达南天门外。,悟空大喜，恳留饮宴不肯，遂与金星纵着祥云，到南天门外。
只见天龙飞舞，花雨飘零。,但见那天龙同绕，花雨缤纷。
只见那：鲜艳明亮，每颗树木都挺拔挺立。,但见那： 夭夭灼灼，颗颗株株。
把之前和之后的事情都详细地讲述了一遍。,遂将前后事，细说了一遍。
突然间又发生了变化，变成了一根二寸长短的小和尚，藏在红匣子里。,却又一变，变做二寸长短的小和尚儿，钻在红匣之内。
孙大圣刚停云头，告诉八戒和沙僧：“兄弟们放心，师父有救了。”,孙大圣才按云头，对八戒沙僧道：“兄弟放心，师父有救星了。”
缭绕的辔头上的皮缰团花闪闪发光，像云扇般描绘着金色的舞兽造型。,辔头皮札团花粲，云扇描金舞兽形。
老者缓缓驶离龙车，向女王行礼道：“女王陛下，请回吧，让贫僧去取经。”,长老慢下龙车，对女王拱手道：“陛下请回，让贫僧取经去也。”
传令给军队，将刘洪等人绑赴法场，然后让军队在城外安营。,丞相传下军令，将刘洪一干人犯，绑赴法场，令众军俱在城外安营去了。
如何能够忘记所许下的承诺呢？,许下的，如何不念？
国王展开双目，忽然听到黄门官前来奏报：“三位国师已经到。”,国王展开方看，又见黄门官来奏：“三位国师来也。”
纵身一跃，踏着祥云，登上高山，将扇子轻轻吐出，展现出手法。,将身一纵，踏祥云，跳上高山，将扇子吐出来，演演方法。
那呆子感到疼痛难忍，却发现这些人已经消失得无影无踪。,那呆子疼痛难禁，这些人早已不见了。
这个可怕的怪物在半空中制造了一阵旋风，随后发出一声震耳欲聋的呼啸声，导致石头和沙尘四处飞溅，着实令人胆寒。,好怪物，就在半空里弄了一阵旋风，呼的一声响亮，走石扬沙，诚然凶狠。
"""你这和尚真是不讲理，既然收了徒弟，怎么不和他一起进来见我？要是到朝中任职，就算我不满意赏赐，也会给他一份相应的斋饭。""",“你这和尚大没理，既有徒弟，怎么不与他一同进来见朕？若到朝中，虽无中意赏赐，必有随分斋供。”
我是唐僧的大徒弟，名叫孙悟空。,我是那唐僧的大徒弟孙悟空行者。
仙女回答说：“我可从来没有听说过这件事。”,仙女说：“不曾听得说。”
面如桃花，鬟金凤丝。,脸衬桃花瓣，鬟堆金凤丝。
老妪听到这番话，非常高兴地说道：“太好了！太好了！太好了！只需要请他来一趟，不用那么麻烦，正好明天你父亲周忌，可以麻烦长老做一些善事，比如念经文，然后在后天送他去就可以了。”,老妪闻言，十分欢喜道：“好！好！好！就是请他，不得这般，恰好明日你父亲周忌，就浼长老做些好事，念卷经文，到后日送他去罢。”
八戒听到这话，心里感到不安，默默地对着行者说道：“这件事是我们做错了。吃了东西，不想着继续前行，只想等着祈祷完毕，这该如何回应呢？”,八戒闻言，心中忐忑，默对行者道：“这是我们的不是。吃了东西，且不走路，只等这般祷祝，却怎么答应？”
众人和天界的人都盯着菩萨看，谁也认不出来。,众诸天与菩萨都看良久，莫想能认。
老魔说道：“早上那行者变小钻风混进来，我们都认不出来。幸好三贤弟认得，把他装在瓶里。他本事不小，居然钻破瓶子，还拿走了衣服。现在在外面叫战，谁敢跟他对阵？”,老魔道：“那行者早间变小钻风混进来，我等不能相识。幸三贤弟认得，把他装在瓶里。他弄本事，钻破瓶儿，却又摄去衣服走了。如今在外叫战，谁敢与他打个头仗？”
悟空问：“这样能长生吗？”,悟空道：“似这般可得长生么？”
太宗说：“昨晚我在夜梦中得到一首诗，以此来答谢御弟，并将其命名为圣教序，不知道是否足够好。”,”太宗道：“朕夜口占，答谢御弟之意，名曰圣教序，不知好否。
在宝扇迎风飘扬时，红云环绕；在阳光照耀下，鲜袍闪烁着翠雾般的光芒。,花迎宝扇红云绕，日照鲜袍翠雾光。
二神道：“大圣被长久束缚，小神不知道会何时出现，所以没接到，请原谅。”,二神道：“大圣一向久困，小神不知几时出来，所以不曾接得，万望恕罪。”
离开长安踏上征程，正值暮春时节，微风轻拂着绿柳，细雨滋润着红花。,离了长安登途，正是暮春天气，和风吹柳绿，细雨点花红。
菩萨说：“悟净，别再找借口了，悟空已经在這裡待了四天，我从来没有让他回去的打算，他又怎么可能自己去请唐僧、去取经呢？”,”菩萨道：“悟净，不要赖人，悟空到此今已四日，我更不曾放他回去，他那里有另请唐僧、自去取经之意？
左右摇晃像金桶，东西晃动像铜钟。,左右却如金桶，东西犹似铜钟。
这是太宗在贞观十三年九月望前三日所赐。,太宗看了，乃贞观一十三年九月望前三日给。
八戒问：“什么事？”,八戒问道：“哥，是那三事？”
那帮妖怪，团结一致，守卫在左右，总是勤勤恳恳。,那伙妖魔，同心合意的，侍卫左右，早晚殷勤。
赶到山门的太子却发现不再踪影的白兔，取而代之的是门槛上插着一枝雕翎箭。,却说那太子赶到山门前，不见了白兔，只见门槛上插住一枝雕翎箭。
菩萨叫惠岸，从袖子里拿出一个红葫芦，说：“你和孙悟空一起去流沙河水面叫悟净，他会出来。先让他归依唐僧，然后把九个骷髅穿在一起，按九宫布列，把葫芦放在中间，就成了法船，能帮唐僧渡过流沙河。”,菩萨即唤惠岸，袖中取出一个红葫芦儿，吩咐道：“你可将此葫芦，同孙悟空到流沙河水面上，只叫悟净，他就出来了。先要引他归依了唐僧，然后把他那九个骷髅穿在一处，按九宫布列，却把这葫芦安在当中，就是法船一只，能渡唐僧过流沙河界。”
悟空说：“我不要去！不去！俗话说得好，‘赊三不敌见二’，你就随便送一副给我吧。”,悟空道：“我老孙不去！不去！俗语谓‘赊三不敌见二’，只望你随高就低的送一副便了。”
大圣站在山顶，心中暗自盘算着：“这老牛似乎又结交了新的朋友，去参加什么聚会，正好我可以跟着他看看。”,大圣在高峰上看着，心中暗想道：“这老牛不知又结识了甚么朋友，往那里去赴会，等老孙跟他走走。”
行者说：“你不知道我的能力。我的眼睛能看到千里之遥的路途的凶吉。比如千里之内，一只蜻蜓展翅，我也能看到，但那匹大马我却看不见！”,行者道：“你也不知我的本事。我这双眼，白日里常看一千里路的吉凶。象那千里之内，蜻蜓儿展翅，我也看见，何期那匹大马，我就不见！”
宴席在当天结束。,当日散了筵宴。
三藏说：“徒弟，好冷啊。你看，被子太薄了，手都冻僵了。霜花在落叶上，冻铃挂在苍松上。地冻得很，水都结冰了。没有渔翁，山寺里怎么会有僧人呢？樵夫担心柴少，王孙却喜欢炭火增加。征人要像铁一样坚强，诗人要用笔如菱般犀利。皮袄还嫌薄，貂裘还嫌轻。在蒲团上冻僵的老僧，在纸帐里被旅魂惊醒。绣被重裀褥，浑身战栗如铃声。”,三藏道：“徒弟，果然冷。你看，就是那重衾无暖气，袖手似揣冰。此时败叶垂霜蕊，苍松挂冻铃。地裂因寒甚，池平为水凝。渔舟不见叟，山寺怎逢僧？樵子愁柴少，王孙喜炭增。征人须似铁，诗客笔如菱。皮袄犹嫌薄，貂裘尚恨轻。蒲团僵老衲，纸帐旅魂惊。绣被重裀褥，浑身战抖铃。”
大圣迅速地驾驶着筋斗云，飞到半空中，闻着来自东北方向的风中散发出的腥味，立即朝着那个方向飞驰而去。,好大圣，急纵筋斗云，起在半空，闻着那腥风之气，往东北上径赶。
唐僧无可奈何，立刻回答道：“亲爱的，有的。”,唐僧没奈何，应他一声道：“娘子，有。”
"""那个白脸的人是我的师父，那个奇怪的人是我的师弟。我们俩一起发誓要去西天取经，所以我必须去找他！""",“那白脸者是我师父，那怪样者是我师弟。我与他共发虔心，要往西天取经，如何不寻他去！”
行者停下来，抖了抖翅膀，然后变成了一只丹凤，发出一声高鸣。,行者立定，抖抖翎毛，又变作一只丹凤，高鸣一声。
进入玄微通变之境，不禁微笑感慨当年的烂柯仙缘。,下到玄微通变处，笑夸当日烂柯仙。
八戒说：“师父让我不要乱闯，不要惹麻烦，但我确实没看到过。”,”八戒道：“师父只教我低着头，莫撞祸，实是不曾看见。
八戒说：“他还是有实力的。曾经劝我跟他一起修行，我没去。”,八戒道：“他倒也有些道行。他曾劝我跟他修行，我不曾去罢了。”
梅花开青天，李白醉白水，柳绿桃红春意浓！,梅青李白，柳绿桃红。
老儿说：“鞍辔在这里，师父，请用。”,说未了，只见那老儿，果擎着一副鞍辔、衬屉缰笼之类，凡马上一切用的，无不全备，放在廊下道： “师父，鞍辔奉上。”
行者说：“你摸摸看，有没有刀伤？”,”行者道：“你是摸摸看，可有刀痕？
猴王说：“我是孙氏。”,猴王道：“我姓孙。”
行者笑着说：“你真行！我变成蚊子飞进他洞里看师父，发现师父被绑在定风桩上哭泣。我告诉他不准哭，然后飞到屋梁上听了一会儿。看到一个拿着令字旗的人喘着气走进去报告：只是被你赶走了，看不见我。老妖胡乱猜测，说我是被风吹死了，或者去请神兵了。但他自己承认了一个人，真厉害！真厉害！”,行者笑道：“亏你！亏你！老孙变做蚊虫儿，进他洞去探看师父，原来师父被他绑在定风桩上哭哩。是老孙吩咐，教他莫哭，又飞在屋梁上听了一听。只见那拿令字旗的，喘嘘嘘的，走进去报道：只是被你赶他，却不见我。老妖乱猜乱说，说老孙是风吹杀了，又说是请神兵去了。他却自家供出一个人来，甚妙！甚妙！”
