input,output
两匹战马交错，士兵们举起武器。,战马相交，军器并举。
下回再说说秦明和黄信是如何迎战的。,毕竟秦明、黄信怎地迎敌，且听下回分解。
白秀英说：官人既然来听歌，怎么不带钱？,白秀英道：官人既是来听唱，如何不记得带钱出来？
宋江说：“再过几天就没事了，只是担心江州的通知到达济州，追捕家属。所以最好尽快行动。不需要太多人去，我一个人去就可以了，和宋清一起搬我父亲上山，这样就不会惊动村里的人，也不会给自己带来麻烦。”,"宋江道：""仁兄，再过几日不妨，只恐江州行文到济州，追捉家属，以此事不宜迟。今也不须点多人去，只宋江潜地自去，和兄弟宋清搬取老父连夜上山来，那时乡中神不知，鬼不觉；若还多带了人半去，必然惊吓乡里，反招不便。"""
燕青感激地低声道谢，然后走进牢房送去食物。,燕青拜谢了，自进牢里去送饭。
宋江只能匆忙地跑进村里，寻找地方躲藏。穿过一片林子后，他突然发现了一座古老的庙宇。他双手推开门，趁着月光走进了庙宇。,宋江只得奔入村里来，寻路躲避；抹过一座林子，早看见一所古庙；双手只得推开庙门，乘着月光，入进庙里来。
在雷震和汤隆激烈战斗的时候，突然发现倪麟摔下马背，他故意露出破绽，然后迅速调转马头逃离。汤隆紧随其后，手持铁瓜猛击他的顶门，将其头盔和脑袋击碎，倒在了马下。,雷震正与汤隆战到酣处，见倪麟落马，卖个破绽，拨马便走，被汤隆赶上，把铁瓜照顶门一下，连盔带头打碎，死于马下。
"牛二说：""先生，请砍我一刀！""","牛二道：""你好男子，剁我一刀！"""
宋江下令军队迅速追击，迫使辽军溃散逃跑。,宋江催兵掩杀，辽兵大败奔走。
指尖轻轻摆动，时光匆匆流逝，不知不觉间雪已经停了。,捻指间，岁月如流，不觉雪晴。
因为士兵们长途跋涉，中暑和疲惫的人很多。安道全提供了药品和治疗方法，还搭起了凉棚来安置马匹，让皇甫端来处理马匹的健康问题，比如修剪鬃毛。,又因军士跋涉千里，中暑疲困者甚多，教安道全置办药料，医疗军士；再教军士搭盖凉庑，安顿马匹，令皇甫端调治，刻剐鬣毛。
不久之后，酒保就端来了一大盘牛肉和几种蔬菜，还有一个大碗，一边忙着筛酒，一边摆放着美食。,酒保去不多时，将来铺下一大盘牛肉，数般菜蔬，放个大碗，一面筛酒。
宋江看了心中暗自感叹：“这可苦恼，这贼人完全不理会我，只顾着自己的睡眠！今天我被这个妇人叨叨个不停，喝了几杯酒都无法抵抗，只好早早睡了。”,"宋江看了寻思道：""可奈这贼人全不睬我些个，他自睡了！我今日吃这婆子言来语去，央了几杯酒，打熬不得，夜深只得睡了罢。"""
李逵走到树林边，看到一个壮汉走过来，说：“要想过去，就得留下钱，别抢了我的包！”,"李逵来到树林边厢，只见转过一条大汉，喝道：""是会的留下买路钱，免得夺了包里！"""
张顺和大家告别后，背起包袱，迈着坚定的步伐向前走去。,张顺别了众人，背上包裹，望前便去。
无数次交锋，琼英无法阻挡礩的攻势，他故意露出破绽，虚刺一戟，然后拨马向东逃去。,礩无数合，琼英遮拦不住，卖个破绽，虚刺一戟，拨马望东便走。
再次有一位穿着青衣的人捧着一盘仙枣前来劝宋江。,又是一个青衣捧过一盘仙枣来劝宋江。
李逵穿上上衣，将大斧藏在衣兜里，因为没了头巾，他把焦黄的发丝分开，做成两个丫髻。,李逵再穿上衣裳，把大斧藏在衣襟底下，又因没了头巾，却把焦黄发分开，绾做两个丫髻。
杨志等人冲入敌阵，恰好遇到奚胜带领几名猛将，正在护送望北往北逃窜。,且说杨志等杀入军中，正撞着奚胜，领着数员猛将，保护望北逃奔。
杨雄说：“跟着我走。”,杨雄道：“都跟我来。”
董平说道：“别人都拿石头砸我，哪里敢靠近我！”,董平道：“别人中你石子，怎近得我！”
晁盖、吴用、公孙胜一起前来与徐宁交谈，安排宴席庆祝，同时挑选强壮的小喽罗，教授钩镰枪法。同时让戴宗和汤隆连夜前往东京，搬取徐宁的老小。,晁盖，吴用，公孙胜都来与徐宁陪话，安排筵席作庆，一面选拣精壮小喽罗，学使钩镰枪法，一面使戴宗和汤隆星夜往东京搬取徐宁老小。
坐在戴宗旁边的杨林。,戴宗，杨林一带坐了。
雷棋拒绝了；母亲年迈，无法陪同。,雷棋推辞；老母年高，不能相从。
没有人告诉我，我快要死了。,我死不妨，可怜无人报信！
林冲满口答应。,林冲应承了。
宣赞，是衙门防御保义使，掌握着兵马，他的名字是姓宣，名赞。,转出一人，乃衙门防御保义使，姓宣，名赞，掌管兵马。
那婆子说：“这和我无关，说些什么？”,"那婆子道：""又不干我事，教说甚麽？"""
"陈将士递过来酒杯，燕青接过，还没喝酒就说道：""我不能喝酒，因为我不饮酒。""","陈将士叫取酒来，把盏劝燕青；燕青推却道：""小人天戒不饮酒。"""
吴用说：“让“铁叫子”乐和一起去吧，两个人一起走。”,吴用便道：“再教“铁叫子”乐和作伴，两个同去。”
早早回到梁山泊忠义堂。,早回到梁山泊忠义堂上。
在那个夜晚，一场巨大的暴雨突然袭来。,是夜也遇了大雨。
不要惊讶，贵人是不会受到惊扰的。,休惊著贵人！
梁中书说：说得对！,梁中书道：说得是！
当王庆的妻子匆忙走出来询问时，发现丈夫已经出门了。,王庆的老婆，慌忙走出来问时，丈夫已是出门去了。
柴进拉着林冲的手，走进后堂喝酒，让把借的东西还给老师。,柴进携住林冲的手，再入后堂饮酒，叫将利物来送还教师。
立即派郑彪为先锋，调动前部军队出城继续前进。包天师指挥中军，夏侯成负责后援，军队出发前往睦州救援。,当下便遣郑彪为先锋，调前部军马出城前进。包天师为中军，夏侯成为合后，军马进发，来救睦州。
王尚书交战数次，趁机用石勇一枪结束他的生命，最终导致王尚书身亡。,王尚书战了数合，得便处把石勇一枪，结果了性命，当下身死。
"""你不会撒谎吗？"" 大尉再次询问。","大尉再问道：""你不要说谎？"""
那淫妇说道：“师兄，这个出家人的地方真是清净、幽雅、宁静、快乐。”,"那淫妇道：""师兄，端的是好个出家人去处，清、幽、静、乐。"""
这十个乡夫手中握着钢叉、踏弩和刀枪，迅速聚集在一起。,只见这十个乡夫都拿着钢叉、踏弩、刀枪，随即拢来。
"李逵说：""你挺有孝心，我给你十两银子作为启动资金，转行干吧。""","李逵道：""你有孝顺之心，我与你十两银子做本钱，便去改业。"""
段仁、陈宣、苗成带领着残兵败将，向着北方进发，而田彪则紧随其后。,田彪同段仁，陈宣，苗成，领败残兵，望北去了。
周通迅速跃马迎面向我冲来。,周通也跃马来迎。
赵枢密欢欣不已，摆下盛宴以示庆贺，并在军中慷慨解囊，慰问押车人夫；教导王文斌迅速转运衣袄，并亲自在宋江军前发放物资。,赵枢密大喜，置酒宴赏，就军中犒劳押车人夫；就教王文斌转运衣袄，解付宋江军前给散。
在这一刻，黑雾弥漫，笼罩着整个天地，让人无法辨别方向。,此时黑雾遮天，不分南北。
"王庆听到他的问题，便编造了一个虚假的借口：""我是西京人，父母已经去世，妻子也已经去世了。我和范节级是中表兄弟。去年范节级到西京办事，看到我独自一人无依无靠，便邀请我到此地。我有些拳击技巧，等有机会的话，会在本州找机会谋生。""","王庆听他问得跷蹊，便捏一派假话，支吾说道：""在下西京人氏，父母双亡，妻子也死过了，与范节级是中表兄弟。因旧年范节级有公干到西京，见在下独自一身，没人照顾，特接在下到此。在下颇知些拳棒，待后觑个方便，就在本州讨个出身。"""
这边已经部署好，那边敌人已经集结，开始举旗呐喊，准备迎战。,这里分拨定，那边贼众，已是摇旗擂鼓，呐喊筛锣，前来搦战。
到达山坡，听到锣声响起，队伍整齐排列。,到得山坡前，一声锣响，列成阵势。
这座山上并没有公明大王，虽然不会伤害过往的客人，但请小心谨慎地通过，不要惊动他们。,山上未公明大王，虽然不害来往客人，官人须是悄悄过去，休得大惊小怪。
"在那里争夺的时候，突然韩王山口火光闪烁，一队军队飞驰而来，两名将领带头高喊：""敌军胆敢逃逸！""","正在那里争让，只见韩王山嘴边火起，飞出一彪军马来，二将当先，大喊""贼将休走！"""
登上楼顶，看着武大的情况，心情沉重，仿佛等待着死亡，那位妇女正坐在床边假装哭泣。,到楼上看武大时，一丝没两气，看看待死，那妇人坐在床边假哭。
两家说得一样多。,两家都一般说。
朱仝说：看起来像是大户人家。,朱仝道：想必也是官宦之家。
卢俊义匆匆赶路。,卢俊义只顾赶著要行。
那人踏进门来，立刻恭敬地朝着蔡福行礼。,那人进得门，看著蔡福便拜。
"那位汉子问道：“我听说你已经在梁山泊派出了军队。到底是谁去了？""",那汉道：“我听得你梁山泊已有军马去了。你且说是谁？”
"在宋阵中，一位先生突然跃马出阵，手持着有松纹的古定剑，口中默念着神秘的咒语，喝道：""快！""","只见宋阵中一个先生，骤马出阵，仗口松纹古定剑，口中念念有词，喝声道：""疾！"""
晚上回到原地。,当晚依旧渡回。
燕青说：这个地方不适合谈话。,燕青道：这里不是说话处。
周围开阔，八方通达。,四围□□，八面玲珑。
安道全劝告道：将军的伤口还未愈合，不应该冒险行动；一旦行动，就会变得更加困难，伤口也难以痊愈。,安道全谏道：将军疮口未完，不可轻动；动则急难痊可。
"阮小二说：""来份十斤的大块肉。""","阮小二道：""大块切十斤来。"""
当询问黑旋风李逵时，许多人说他是个无家可归的神灵，只有牢房可以栖身。他就像个没有根基的巡检，今天东边休息两天，明天西边躺几小时：谁也不知道他真正的住所在哪里。,"却又来寻问黑旋风李逵时，多人说道：""他是个没头神，又无家室，只在牢里安身；没地里的巡检，东边歇两日，西边歪几时：正不知他那里是住处。"""
当时何九叔突然摔倒在地，周围的火家赶紧将他扶住。,话说当时何九叔跌倒在地下，众火家扶住。
不懂世故的梁武，不认识祖师的禅。,一个尽世不修梁武忏，一个平生那识祖师禅。
夜晚的时候，我连续翻越了五座山头，最终在一段山坳边发现了一丛草，静静地生长在山坳里。,连夜退过五座山头，走到一处山凹边，见一个草，嵌在山凹里。
你不搬走的话，我会先把你绑起来，然后打你一百棍！,三日外不搬，先把你这厮枷号起，先吃我一百讯棍！
在三百神兵急待冲锋的时候，突然发现空寨中火光熊熊，火焰肆虐飞舞，整个寨子都被染成了通红的颜色。,三百神兵急待步，只见那空寨中火起，火焰乱飞，上下通红。
"那位妇女勃然大怒，毫不客气地咒骂道：""该死的贼！""","那妇人大怒，便骂道：""杀才！该死的贼！"""
让我看看这两个家伙被我砍死了没有！,将这两个与我斩讫报来！
卢俊义高声呵斥刘唐，穆弘向后退了几步。,卢俊义喝声著刘唐，穆弘跳退数步。
酒保在煮肉打饼，烧汤和呼延灼洗完之后，把马牵到屋後的小屋下面。,酒保一面煮肉打饼，一面烧汤与呼延灼洗了，便把马牵放屋後小屋下。
"询问详情，只听报道：""二哥哥到了！""","正问备细，只见报道：""二哥哥来了！"""
王伦终了次席，命小喽罗取出五十两白银和两匹丝。,将次席终，王伦叫小喽罗把一个盘子托出五十两白银，两匹丝来。
宋江说：“我需要他点燃火焰。”,"宋江道：""正要他用火。"""
这条金叶衬的金叶，晶莹如玉，尾巴上还系着獭，上面有红色的钉盘螭带。,系一条衬金叶，玉玲珑，双獭尾，红钉盘螭带。
在济州，两路军马一同安营扎寨，太守张叔夜热情接待了各路军马。,两路军马同入济州歇定，太守张叔夜接待各路军马。
赵安抚和二十三位将领一起守卫着檀州，这种情况毫不稀奇。,赵安抚与二十三将，镇守檀州，不在话下。
宋江平静地说道：“可怜的天啊！”,"宋江抖定道：""可怜天！"""
"老僧说：""别拜了。这里是战火纷飞的地方，你怎么可能走到这里？""","那老僧便道：""客官休拜。现今万马千军杀之地，你如何走得到这里？"""
史进回到庄上，把陈达绑在庭心内柱上，等待抓到贼首后一起向官府请赏；还倒了酒给大家喝，让暂时散去。,史进回到庄上，把陈达绑在庭心内柱上，等待一发拿了那贼首，一并解官请赏；且把酒来赏了众人，教且权散。
晁盖等人听后，都感到惊讶和赞叹，山寨此后再也没有其他事情，每天只是专心训练士兵，为对抗官军做准备。,晁盖等见说，帐然嗟叹，山寨中自此无话，每日只是操练人兵，准备抵敌官军。
晁盖听到这个消息后，立刻决定召集众头领，亲自点兵点将，准备下山攻打江州，解救宋三郎。,晁盖听了大惊，便要起请众头领，点了人马，下山去打江州，救取宋三郎上山。
宋江看到柴进接受礼物时表现出极大的兴趣，感到非常高兴。,宋江见柴进接得意重，心里甚喜。
杨雄、石秀和杜兴商量道：“大官人被无礼，又中了箭，时迁也无法出来。我们连累了大官人。我和石秀只能上梁山泊找晁、宋二公和其他头领来帮大官人报仇，救时迁。我们先向李应道别。”,"杨雄、石秀与杜兴说道；""既是大官人被那无礼，又中了箭，时迁亦不能彀出来，都是我等连累大官人了。我弟兄两个只得上梁山泊去恳告晁，宋二公并众头领来与大官人报仇，就救时迁。因辞谢了李应。"""
我正在思考，没有任何办法，突然听到有人在廊下走出来。,正在内寻思，百般无计，只听得后面廊下有人出来。
在黎明时分，一群岭上差人降临，将解珍和解宝的尸体就地风化在岭上。,天明，岭上差人下来，将解珍、解宝尸首，就风化在岭上。
宋江和戴宗怎么能对抗敌人呢？,毕竟宋江、戴宗怎地迎敌？
宋江回答说：“在偏僻的乡村居住，见识浅陋，能见到花朵的美丽，对我来说是一件幸事。”,宋江答道：“山僻村野，孤陋寡闻，得睹花容，生平幸甚。”
其中有人认出了船上的三个人：阮小二、阮小五和阮小七。黄安听到后说道。,"於内有人认得的，便对黄安说道：""这三支船上三个人∶一个是阮小二，一个是阮小五，一个是阮小七。"""
方琼道：“无需枢密下令，那两座城池已经无法抵挡他的力量，都被他耍了花招。我今天如果不亲手除掉他几个，绝不会回城。”,"方琼道：""不消枢密吩咐，那两处城池，非缘力不能敌，都中了他诡计。方某今日不杀他几个，誓不回城。"""
每个人都有自己的职责。,其余各有执事。
许多僧侣看到他来势汹汹，纷纷拿起棍棒退到廊下。,众多僧行见他来得凶了，都拖了棒退到廊下。
西阵的中酆泰勃然大怒，手持两条铁简，骑马直奔向山士奇。,西阵中酆泰大怒，舞两条铁简，拍马直抢山士奇。
当史进被叫出来的时候，穆弘已经出去做客人了，接着就是鲁智深和武松，化装成行脚僧人离开了，然后是宋江、朱仝和刘唐，也化装成客商离开了。,当日先叫史进，穆弘作客人去了，次後便使鲁智深，武松，扮作行脚僧行去了，再後宋江，朱仝，刘唐，也扮做客商去了。
在堂上聚集了众多头领，当日宰牛宰马，大赏三军。留酆美住了两天，为他准备鞍马，然后送他下山。,众头领都到堂上，是日杀牛宰马，重赏三军，留酆美住了两日，备办鞍马，送下山去。
节度使们被高太尉命令出城迎接。,高太尉令众节度使出城迎接。
在安排酒宴款待的同时，送客人到馆驿休息。,一面安排酒宴管待，送至馆驿内安歇。
吴用说：我给你一个暗号：如果我把头摇，你就不要动。,吴用道：我再和你打个暗号：若是我把头来一摇时，你便不可动弹。
宋江说：“既然这样，我会听从您的指示。希望尽快到来。”,"宋江道：""既然如此，专听尊命。只望早早降临为幸。"""
虽然挨了一顿打，但也得吃点酒肉消愁。,虽是吃了一顿棍棒，也得些酒肉吃。
刘唐成功夺取城门下方，却发现上面已经放下了闸板。,刘唐抢到城门下，上面早放下闸板来。
黑气在高廉队中升起。,只见高廉队中卷起一道黑气。
武松说：“我哥哥一直都是老实本分的，不像我哥武二那么泼辣。”,"武松道：""家兄从来本分，不似武二撒泼。"""
狮仙的甘甜由糖浇而成，定胜的面制香酥。,糖浇就甘甜狮仙，面制成香酥定胜。
在阵前，四把宝刀和四匹快马整齐地摆放着。,四口宝刀，四骑快马，齐齐摆在阵前。
李逵伸手到板底下，一拉鱼就出来了。,李逵伸手去板底下一绞摸时，那里有一个鱼在里面。
两位公人离开炕上，去睡觉了；他们用一条铁索把卢员外锁在房门后面，然后大声呼唤直到四更。当两位公人起来时，他们叫小二哥做饭，然后吃饱了，整理好包裹准备出发。,两个公人自去炕上睡了；把一条铁索将卢员外锁在房门背後声唤到四更，两个公人起来，叫小二哥做饭，自吃饱了，收拾包裹要行。
"使臣说：""我离开威胜时，没听说这件事。走到中路，才听说宋朝派兵到这儿。""","使臣道：""在下离威胜时，尚未有这个消息。行至中路，始听的传说宋朝遣兵到俺这里。"""
"武松说：""管营这么胡闹，真是秀才装！搞得我闷得要死，怎么过得去？你倒是直接告诉我你要我做什么？""","武松道：""管营恁地时却是秀才耍！倒教武松瘪破肚皮闷了，怎地过得？你且说正是要我怎地？"""
头戴熟钢狮子盔，脑袋上有一颗红缨，身穿铁叶攒成的铠甲，腰系金兽面束带，前后有青铜护心镜，上穿着绯红团花袍，垂着绿绒缕领带，下穿着斜皮气跨靴，左带弓，右悬箭，手里握着金蘸斧，骑着李都那匹雪白马。,但是∶头戴一顶熟钢狮子盔，脑袋斗后来一颗红缨；身披一副铁叶攒成铠甲；腰系一条金兽面束带，前后两面青铜护心镜；上笼着一领绯红团花袍，上面垂两条绿绒缕领带；下穿一支斜皮气跨靴；左带一张弓，右悬一壶箭；手里横着一柄金蘸斧，坐下李都那匹惯战能征雪白马。
倪氏从未有过孩子，但看到琼英时，却像对待亲生儿子一样深深地爱着他。,那倪氏从未生育的，一见琼英，便十分爱他，却似亲生的一般。
骑着一匹银色卷毛马，手持一把泼风刀。,骑一匹银色卷毛马，手使一口泼风刀。
率领军队前往蓟州，与卢俊义的部队会合，计划在指定的日期发起进攻。,引军前去蓟州，会合卢俊义军马，约日进兵。
吴用在惊讶，萧让等人高喊：“吴军师，这壮士真是了不起，他激励民众，击杀了敌将，救了我们出来。”,"吴用正在惊讶，萧让等高叫道：""吴军师，实亏这个壮士，激聚众民，杀了贼将，救我等出来。"""
妇人说道：“你哥哥每天都要出去做生意，我和叔叔就一起喝三杯酒。”,"妇人道：""你哥哥每日自出去做买卖，我和叔叔自饮三杯。"""
结果，瘟疫在那个年份变得更加严重。,不料其年瘟疫转盛。
双方交手不到三招，金节假意败退，然后掉转马头飞驰而去。,两个交战，礩不到三合，金节诈败，拨转马头便走。
"何九叔站起来说：""小我和都头没有见过面，为什么我要打扰呢？""","何九叔起身道：""小人不曾与都头接风，何故反扰？"""
时间匆匆流逝，转眼间已是八月中秋。,时光迅速，却早又是八月中秋。
离了柴进东庄，走了大约五、七里路，武松说：“尊兄，我们该回去了。柴大官人肯定会等着我们的。”,"三个离了柴进东庄，行了五七里路，武松作别道：""尊兄，远了，请回。柴大官人必然专望。"""
晁盖说：“既然商量好了，就不要拖延！吴先生，你和刘唐带着几个庄客，先去阮家安置一下，然后到旱路上接我。我和公孙先生一起打完架就来。”,"晁盖道：""既然恁地商量定了，事不宜迟！吴先生，你便和刘唐带了几个庄客，挑担先去阮家安顿了，却来旱路上接我。我和公孙先生两个打并了便来。"""
宋江说：“肯定是顾大嫂又在城里得罪人了，他既然敢杀过来，我们就好好迎接他吧。”,宋江道：“此必是顾大嫂在城中又吃亏了。他既杀来，准备迎敌。“
李云看他这样，只好勉强拿了二两。,李云见他如此，只得勉意了两块。
宋江问道：将军打算怎么去呢？,宋江道：将军如何去得？
妇人怀疑地说：“我不信，担心叔叔说的不如心里想的。”,"妇人道：""我不信，只怕叔叔口头不似心头。"""
"萧让说道：""这天气非常炎热，今天我们就出发吧，没必要走太多的路，反正前面就会有落脚的地方。只需要晚上起个早，早点出发就可以了。""","萧让道：""天气暄热，今日便动身，也行不多路，前面赶不上宿头。只是来日起个五更．挨旦出去。"""
焦挺说道：“我想要加入大寨，但找不到路子。今天碰到了兄长，愿意跟随兄长。”,焦挺道：“我多时要奔大寨入伙，却没条门路。今日得遇兄长，愿随哥哥。”
程太守回答道：“我虽然是文官，但他却是武官，我们俩结为夫妻，本就是应该的。但现在贼寇已经逼近，城池危在旦夕，如果这时候就答应，会被人们笑话。等敌人退去，我们保护城池安全无恙后，再考虑亲事也不算迟。”,程太守回说：“我是文官，他是武官，相赘为婿，正当其理。只是如今贼寇临城，事在危急，若还便许，被人耻笑。待得退了贼兵，保护城池无事，那时议亲，亦未为晚。“
吴用说：“只知道宋押司很出名，我以前没有机会见到他。虽然我们住得很近，但错过了见面机会。”,"吴用道：""只闻宋押司大名，小生却不曾得会。虽是住居咫尺，无缘虽得见面。"""
燕青看见的是李逵，他穿着黑色的风衣。,"燕青看见，却是""黑旋风""李逵。"
黄信大声命令：“绑住他！”,"黄信喝道：""绑了！"""
吴用指导着船只送到过渡口，大家出发前往北京，快速前行。,吴用教把船送过渡口，一行人上路奔回北京。
那个水手完全无视他，专心地歌唱着。,那水手那里睬他，只顾唱歌。
让端王坐在中间，太尉就在旁边陪坐。,请端王居中坐定，太尉对席相陪。
在一更左右的时候，将酒搬至桌上。,约有一更相次，酒都搬来摆在桌上。
宋江小心地回答道：“小人只是一个运送罪犯到江州的人。今天错过了住宿的地方，无处安身，想向贵庄借宿一晚，明日按照规矩付房钱。”,"宋江陪着小心，答道：""小人是个罪犯配送江州的人。今日错过了宿头，无处安歇，欲求贵庄借宿一宵，来早依例拜纳房金。"""
毕胜勃然大怒，他猛地抽马挺枪，直冲向雷横，雷横也拔枪迎战。,毕胜大怒，拍马挺枪，直取雷横，雷横也使枪来迎。
这只是一个马院而已。,却是一个马院。
"只看到丛中有一支小快船，船尾上有一个摇船的人，船头上坐着一位先生，手里拿着一把闪闪发光的宝剑，口中喊道：""不要让任何人溜走！""","别光丛中，只见一支小快船，船尾上一个摇着船，船头上坐着一个先生，手里明晃晃地拿着一口宝剑，口里喝道：""休教走了一个！"""
卢俊义点头表示感谢，离开朝堂返回庐州，毫无察觉 four贼臣 正在策划害他。,卢俊义顿首谢恩，出朝回还庐州，全然不知四个贼臣设计相害。
"吴用说：""二位不用着急，天亮了就会有结果。""","吴用道：""二位贤弟不必忧心。天明时便有分晓。"""
那三人同声跪倒。,那三个好汉一齐跪下。
燕青是天下第一的小厮，所以宋公明让燕青和李逵在一起。,原来燕青小厮扑天下第一，因此宋公明著令燕青相守李逵。
晁盖问道：“你认识晁保正吗？”,"晁盖道：""你可曾认得晁保正么？"""
在树梢上，一只苍猿献上了丰盛的果实，而另一只白鹿则在莎草中悠然地衔着芝草。,树梢头献果苍猿，莎草内衔芝白鹿。
武松被众军汉押着，直接来到了他的房间，打开了他那用柳藤制成的箱子，里面装满了衣物，但箱子的底部却是一些银色酒器，总共有约一百或两百两的赃物。,众军汉把武松押着，迳到他房里，打开他那柳藤箱子看时，上面都是些衣服，下面却是些银酒器皿，约有一二百两赃物。
肝胆相照，一生不变。,终身之肝胆无二。
琼先锋骑马赶来。,琼先锋纵马赶来。
在当晚，金节写下了一封私密的书信，然后将它拴在箭上。直到夜深人静，他站在城墙上，凝视着西门外那些探路的人民，将箭射了下去。,当晚金节写了私书，拴在箭上，待夜深人静，在城上望着西门外探路军人射将下去。
"武松说：""带我去。""","武松道：""你引我去。"""
陈达说：“我太弱了！一个村子，过去不好，怎么敢对付官军？”,"陈达道：""兄弟懦弱！一个村坊，过去不得，怎地敢抵敌官军？"""
燕青站起身来，将金山推倒，倒塌了玉柱，然后行了八拜之礼。,燕青便起身，推金山，倒玉柱，拜了八拜。
在激烈的战斗持续了很长时间后，贼兵惨败，官军取得了决定性的胜利。,当下鏖战多时，贼兵大败，官军大胜。
庄客们手忙脚乱，无法提起任何东西。,庄客们那里提得动。
那群人停下来，等待养娘扶着女子走出轿子。她们径直走向艮岳门内，迈着娉娉娜娜的步伐，妖妖娆娆地走进去。,那簇人歇下轿，养娘扶女子出了轿，迳望艮岳门内，娉娉娜娜，妖妖娆娆走进去。
