input,output
曹操发现玄德在背水边修筑营地，感到疑惑，于是派人送去挑战书。,曹操见玄德背水下寨，心中疑惑，使人来下战书。
大家说：“我们不想投降。”,众人皆曰：“吾等都不愿降！”
正在讨论调动军队的事情，突然传来消息，曹操率领着四十万大军前来报仇。,正商议调兵，忽报曹操起军四十万来报赤壁之仇。
曹操亲自追赶到安定，得知马超已经离开，这才下令收兵回长安。,曹操亲自追至安定，知马超去远，方收兵回长安。
骄傲的军队常常会失败，轻视敌人的军队很少能取得成功。,自古骄兵多致败，从来轻敌少成功。
子服对这件事感到疑惑，于是悄悄地拿起来阅读完毕，然后将书藏进口袖中，然后大声喊道：“国舅真是逍遥自在！你怎能安然入睡呢！”,子服疑之，默取看毕，藏于袖中，呼承曰：“国舅好自在！亏你如何睡得着！”
在书中先提到了运送粮食的事情；接着提到许攸在冀州时，被举报曾非法接受百姓财物，还纵容自己的子侄们征收过高的税款，将钱粮据为己有。如今，他的子侄们已经被送入监狱。,书中先说运粮事；后言许攸在冀州时，尝滥受民间财物，且纵令子侄辈多科税，钱粮入己，今已收其子侄下狱矣。
军士信任他，于是让他把船停在江边。,军士信之，遂任其停泊江边。
在晋主的旨意下，王濬等人协同作战，势如破竹，吴军见状纷纷举旗投降。,王濬等奉了晋主之命，水陆并进，风雷鼓动，吴人望旗而降。
亮说：“这很容易理解。如果粪便长时间浸泡在蜂蜜中，那么内外都会变得湿润；但如果刚刚放入蜂蜜中，那么外部湿润而内部干燥。”,亮曰：“此事易知耳。若粪久在蜜中，则内外皆湿，若新在蜜中，则外湿内燥。”
姜叙和杨阜率领军队出战。,姜叙、杨阜引兵出。
拿起床头的剑扔了出去，转眼间消失了。,取床头剑掷之，忽然不见。
典韦冒着浓烟和烈火，勇往直前，四处搜寻。,典韦冒烟突火，又杀入去，到处寻觅。
西凉士兵放下马匹，扔掉武器，匆忙逃离。,西凉兵弃马抛戈而走。
观看操之。,操使人观之。
那位年轻将领迅速追赶而来，维拉紧手中的钢枪，暗中拉弓射出羽箭。,那小将骤马追来，维挂住了钢枪，暗取雕弓羽箭射之。
在城下，夏侯霸和他的五百名士兵都牺牲了。,可怜夏侯霸同五百军，皆死于城下。
玄德勃然大怒：“我曾为你作战，费尽心血。你现在却舍不得赏赐钱财，怎能激励士兵忠诚呢？”,玄德大怒曰：“吾为汝御敌，费力劳心。汝今积财吝赏，何以使士卒效命乎？”
炜说：“小时候聪明，长大不一定聪明。”,炜曰：“小时聪明，大时未必聪明。”
在一声惊天动地的炮声中，火焰冲天而起，鼓声震耳欲聋：魏军如潮水般涌出，将魏延和高翔围困在核心地带。,忽然一声炮响，火光冲天，鼓起震地：魏兵齐出，把魏延、高翔围在垓心。
盖说：“他们人多我人少，不能坚持很久，为什么不使用火攻呢？”,盖曰：“彼众我寡，不宜久持，何不用火攻之？”
第二天，韩遂带领侯选、李堪、梁兴、马玩、杨秋五位将领出阵。,次日，韩遂引侯选、李堪、梁兴、马玩、杨秋五将出阵。
在玄德忧闷的时候，突然传来公子刘琦派伊籍前来的消息。,玄德正忧闷间，忽报公子刘琦差伊籍到来。
权说：“这个计划很好。”,权曰：“此计甚合吾意。”
荀攸建议说：“江东有周瑜和诸葛亮这两位谋士，很难对付。我们可以派人去东吴假装投降，成为内奸，传递消息，这样才能计划实施。”,荀攸进计曰：“江东有周瑜、诸葛亮二人用计，急切难破。可差人去东吴诈降，为奸细内应，以通消息，方可图也。”
琮听到命令后感到惊慌，婉拒道：“我并不想去当官，只想守护父母和家乡。”,琮闻命大惊，辞曰：“琮不愿为官，愿守父母乡土。”
力单势孤的绣兵，只得引着败军投刘表去了。,绣势穷力孤，引败兵投刘表去了。
军士迅速赶到马前。,军士连忙唤到马前。
陈武与庞德激烈对战，后援无继，被庞德逼至峪口，树林密布；陈武想退回继续作战，却被树木缠住袍袖，无法抵挡，最终被庞德击败。,却说陈武与庞德大战，后面又无应兵，被庞德赶到峪口，树林丛密；陈武再欲回身交战，被树株抓往袍袖，不能迎敌，为庞德所杀。
张昭等看到孔明气度从容，风度翩翩，推测他会前来游说。,张昭等见孔明丰神飘洒，器宇轩昂，料道此人必来游说。
带领着一群弓箭手登上门楼，望向前方。,乃引弓弩手数十人，登门楼望之。
玄德询问他的意图。,玄德问其意。
姜维指挥着军队大举进攻。,姜维驱兵大进。
玄德感到心烦意乱。,玄德心中怏怏不安。
炎坐下后，问道：“魏能够统治天下，是依靠了谁的力量呢？”,炎坐毕，问曰：“魏之天下，谁之力也？”
张飞以为自己计划得很好，带领着一支轻骑部队冲入曹操的营地。然而，他们看到的却是零零落落的人群，没有太多人马。四周火光熊熊，喊声此起彼伏。,且说张飞自以为得计，领轻骑在前，突入操寨，但见零零落落，无多人马，四边火光大起，喊声齐举。
操笑着说道：“就凭你也敢给我下毒？肯定是有人指使你来的。如果你能指出是谁指使你的，我就放过你。”,操笑曰：“量汝是个医人，安敢下毒害我？必有人唆使你来。你说出那人，我便饶你。”
在清晨的时候，把这件事告诉了玄德。,至晓，告于玄德。
孙和郭看到这景象，都感到非常惊讶。,孙、郭二人见之，大惊。
在酒过三巡，张温笑容满面，神情中流露出一股傲慢之气。,酒至半酣，张温喜笑自若，颇有傲慢之意。
公说：“我也想这样做。”,公曰：“吾亦欲如此。”
程普被问到坚得玺的问题。,坚得玺，乃问程普。
承表示：“尽管有不满，但也无法改变。”,承曰：“虽怀恨，无可奈何。”
在绍兵即将发起进攻的时候，田丰从监狱中写了一封上书，劝谏道：“现在我们应当静静等待时机，不要轻率地发动大规模的战争，以免遭受不利之灾。”,绍兵临发，田丰从狱中上书谏曰：“今且宜静守以待天时，不可妄兴大兵，恐有不利。”
吴兵迅速前来支援。,于是大起吴兵来接应。
先主说：“二弟都已经去世了，我怎么能独自生存下去呢！”,先主曰：“二弟俱亡，朕安忍独生！”
云准备攻城，突然听到喊叫声很响，四周火光熊熊。,云恰待攻城，忽然喊声大震，四面火光冲天。
张飞向严颜请教，严颜说：“从现在起攻打雒城，所有守卫关口的人都是我负责，官军都在我的掌控之中。我感激将军的恩情，无法报答，我愿意作为先锋，所到之处，都让他们出来投降。”,却说张飞问计于严颜，颜曰：“从此取雒城，凡守御关隘，都是老夫所管，官军皆出于掌握之中。今感将军之恩，无可以报，老夫当为前部，所到之处，尽皆唤出拜降。”
派遣使者携带奏章向皇帝报告。,遂遣使赍表奏闻。
愤怒的策说道：“那个家伙是何方神圣？赶紧给我抓住他！”,策怒曰：“是何妖人？快与我擒来！”
当两人正在交谈时，突然有人从殿内走出来，抓住孔明的衣袖说：“这么糟糕的消息，你怎么不告诉我！”,二人正说之间，忽然殿内转出一人，扯住孔明衣袖而言曰：“如此凶信，公何瞒我！”
追溯往昔，武王率军攻打纣王，成功夺关而归；审视近况，武王、文王征战权谋，虽临江却未能成功：这岂非展现出顺应天时、通晓权变的能力？,言之前代，则武王伐纣，出关而复还；论之近事，则武、文征权，临江而不济：岂非顺天知时，通于权变者哉？
权问：“弓箭一起发射，无法逃脱，怎么办？”,权曰：“弓弩齐发，不能得出，如何？”
布说：“丞相请稍等，我们还有事情要商量。”,布曰：“丞相且退，尚容商议。”
泽欣然毫不犹豫地表示：“大丈夫活在世间，若无法成就一番事业，岂不是和草木一样腐朽！公如慷慨捐躯报主，泽又何须顾惜微生！”,泽欣然应诺曰：“大丈夫处世，不能立功建业，不几与草木同腐乎！公既捐躯报主，泽又何惜微生！”
孙綝便返回建业。,于是孙綝自回建业去了。
吕旷等人带领军队抵达关下，高喊：“我们曾是袁氏旧将，被迫投靠曹操。曹操为人狡诈，对待我们不尽如人意；如今我们只想回到旧主身边。速开门接纳我们吧。”,吕旷等引军数十，直抵关下，叫曰：“吾等原系袁氏旧将，不得已而降曹。曹操为人诡谲，薄待吾等；吾今还扶旧主。可疾开关相纳。”
让平领命自行准备。,平领命自去准备。
马超接到庞德的支援，一起守卫关口。,马超接应庞德上关。
急忙扶着操下马，脱下袍铠，背着操渡水。,洪急扶操下马，脱去袍铠，负操渡水。
表说：“我在敌营中有个黄祖，怎么能忍心放弃他？”,表曰：“吾有黄祖在彼营中，安忍弃之？”
懿非常伤心，抬起头来感叹道：“张隽乂去世了，这是我的错！”,懿悲伤不已，仰天叹曰：“张隽乂身死，吾之过也！”
攸了解他的意思，不再说话。,攸知其意，不复言。
在军前独自击败敌人的兀突骨，一路上只看到茂密的林木，却不敢向前；然而，当有人远远望去时，却看到树阴下旌旗飘扬。,兀突骨自在军前破敌，于路但见林木茂盛之处，便不敢进；却使人远望，果见树阴之中，旌旗招飐。
于是便到了徐州。,遂来到徐州。
宫说：“不行。”,”宫曰：“不可。
玄德说：“我早就想让给你了。”,玄德曰：“备欲让兄久矣。”
袁术勃然大怒，厉声喝道：“我身为大臣，尚且谦逊有礼，一个县令手下的普通士兵，竟敢在这里卖弄武艺！都给我滚出大帐！”,袁术大怒，喝曰：“俺大臣尚自谦让，量一县令手下小卒，安敢在此耀武扬威！都与赶出帐去！”
泰说：“主公可以和我一起冲出去。”,泰曰：“主公可随泰杀出。”
李封拿着画戟，迎面向敌。,李封使画戟，向前来迎。
二夫人问：“二叔打算怎么办？”,二夫人曰：“二叔今将若何？”
一晚上的激烈战斗后，营地已经无法正常运作。,两兵混杀了一夜，营寨又立不成。
望大惊，准备进兵混战，被维用鞭梢指向，两翼士兵率先出击，魏兵丢盔弃甲，各自逃命。,望大惊，恰欲进兵混战，被维以鞭梢一指，两翼兵先出，杀的那魏兵弃甲抛戈，各逃性命。
亲自举起酒杯，向吕蒙致以最高的敬意。,于是亲酌酒赐吕蒙。
准备酒菜款待客人，卸下鞍具给马喂食。,遂置酒食待之，卸鞍喂马。
将军们听从命令，立即出发。,诸将遵令而行。
玄德说：“每个人都有自己的职责，不应该勉强他们。”,玄德曰：“彼各有事，岂可相强。”
司马懿收到孔明去世的消息后，决定继续率军追击。,司马懿知孔明死信已确，乃复引兵追赶。
刘昂生为漳侯刘禄。,昂生漳侯刘禄。
休生气地说：“你想要抢走我的功劳吗？”,休怒曰：“汝欲夺吾功耶？”
首先，胡华的儿子胡班前来荆州投奔关公；关公因为以前曾经救助过他，非常喜欢他；于是让胡班随同费诗一起进入四川，见汉中王接受封赏。,先是，有胡华之子胡班，到荆州来投降关公；公念其旧日相救之情，甚爱之；令随费诗入川，见汉中王受爵。
张辽高兴地说：“曼成愿意帮助我们，等会儿我会带领一支军队在逍遥津北埋伏。等吴兵杀过来，先拆掉小师桥，我和乐文谦会袭击他们。”,张辽大喜曰：“既曼成肯相助，来日引一军于逍遥津北埋伏：待吴兵杀过来，可先断小师桥，吾与乐文谦击之。”
在本境土神南方，亡鬼南方，血食南方，都有规律地存在，离得并不遥远。活着的人要尊重天威，死去的人也要归顺王化，应该平静安宁，不要惊叫哭泣。,至于本境土神，南方亡鬼，血食有常，凭依不远；生者既凛天威，死者亦归王化，想宜宁帖，毋致号啕。
高兴地问山川的形势。,会大喜，指问山川形势。
不久后，简雍来到了，他和孙乾相互问候后，开始商量如何摆脱困境的计划。,少顷，简雍至，与孙乾相见毕，共议脱身之计。
孔明登上小船，与对方坐下。,孔明接入小舟对坐。
帝天生性轻浮，威严不够庄重，对待丧事懒散粗心：他的品德已经丧失，不配担任重要职务。,而帝天资轻佻，威仪不恪，居丧慢惰：否德既彰，有忝大位。
曹休迅速骑马前行，贾逵紧随其后。,于是曹休骤马而行，贾逵断后。
在午夜三更时，趁着皎洁的月光，从北门走出，开始步行。,当夜三更，乘着月明，出北门而走。
突然发现一支军队从小路冲出，领头是贾逵将军。,忽见一彪军从小路冲出，为首大将，乃贾逵也。
孔明说：“一定是江东打败了黄祖，所以来找主公商量报仇的计划。我和主公一起去，会有好办法的。”,孔明曰：“此必因江东破了黄祖，故请主公商议报仇之策也。某当与主公同往，相机而行，自有良策。”
曹洪跟随张郃，还派给了他五千军队，让他去攻打葭萌关。,曹洪从之，又与兵五千，教张郃取葭萌关。
祜笑着说道：“他们也知道我擅长喝酒啊！”,祜笑曰：“彼亦知吾能饮乎！”
徐晃迅速取下锦袍，穿在身上，然后快马来到台前，恭敬地表示：“感谢丞相赐予锦袍！”,徐晃飞取锦袍，披于身上，骤马至台前声喏曰：“谢丞相袍！”
成都传来汉中人的消息。,汉中人报入成都。
邹氏感激地说：“我真的很感激再生的恩惠。”,邹氏拜曰：“实感再生之恩。”
孙夫人非常生气地说：“周瑜是个叛贼！东吴从未对不起你！玄德是大汉皇叔，是我的丈夫。我已经告诉母亲和哥哥我要回荆州去了。你现在两个在山脚处拦截道路，想抢劫我和丈夫的东西吗？”,孙夫人大怒曰：“周瑜逆贼！我东吴不曾亏负你！玄德乃大汉皇叔，是我丈夫。我已对母亲、哥哥说知回荆州去。今你两个于山脚去处，引着军马拦截道路，意欲劫掠我夫妻财物耶？”
礼仪完毕，辽问道：“我推荐的兄长在丞相职位上，有差错吗？”,礼毕，辽曰：“我荐兄在丞相处，不曾落后？”
云长勃然大怒，喝斥二人道：“我并非不敢得罪费司马，若不是看在费司马的面子上，定要将你们俩的首级砍下来！”,云长怒气不息，叱二人曰：“吾不看费司马之面，必斩汝二人之首！”
玄德马上哀叹道：“前面有敌人，后面有追兵，我们注定要失败了！”,玄德马上叫苦曰：“前有伏兵，后有追兵，天亡我也！”
突然传来消息，马谡、王平、魏延、高翔已经到。,忽报马谡、王平、魏延、高翔至。
玄德说：“这个人是我同族的人，我去劝说他，一定不会被拒绝。”,玄德曰：“此人是备同宗，备往说之，必无推阻。”
犹豫不决后主，只好回到宫中。,后主未决，退入宫中。
在斜谷道上，曹真决定固守阵地，不愿无功而返。,曹真屯兵于斜谷道，不能取胜而回。
左右挑选骏马，让蒋干乘坐，送到西山背后的小庵休息，还安排了两名士兵侍奉他们。,左右取马与蒋干乘坐，送到西山背后小庵歇息，拨两个军人伏侍。
请求免于死亡，俯身告。,伏地告求免死。
云勃然大怒，毫不犹豫地放马出战。,云大怒，纵马来战。
知道有毒，故意拖延不接受。,操知有毒，故意迟延不服。
命令军队绕城建造土山，还秘密挖掘地道来进攻。,操令三军绕城筑起土山，又暗掘地道以攻之。
准备好弓箭，等待着射杀猛虎的机会，同时也在精心准备香饵，期待着钓到鳌鱼。,整备窝弓射猛虎，安排香饵钓鳌鱼。
无谋何进担任三公之职，企图除掉社会上的害群之马，招来奸雄。虽然赶走了虎狼，但西州的逆贼却生出更加凶残的恶行。,无谋何进作三公，欲除社鼠招奸雄。豺獭虽驱虎狼入，西州逆竖生淫凶。
琮说：“诸位说得都对，我并非不听从；只是因为先人的事业，一旦放弃给他人，恐怕会贻笑大方。”,琮曰：“诸公善言，非我不从；但以先君之业，一旦弃与他人，恐贻笑于天下耳。”
玄德说：“不要误会。你二哥曾经打败过颜良和文丑，对吧？子龙这次离开，肯定有什么事情。我相信他不会抛弃我。”,玄德曰：“休错疑了。岂不见你二兄诛颜良、文丑之事乎？子龙此去，必有事故。吾料子龙必不弃我也。”
「前面骑着黄马的那个人就是他。」操反指道。,操反指曰：“前面骑黄马者是他。”
独霸西川的真英主，与龙驹相遇在坐下。檀溪水自东流，如今龙驹英主何方？,西川独霸真英主，坐下龙驹两相遇。檀溪溪水自东流，龙驹英主今何处！
"布微笑着说：“吕布只不过是个勇猛的武夫，怎么可能成为州牧呢？""",布乃佯笑曰：“量吕布一勇夫，何能作州牧乎？”
人生如梦，如蜉蝣般渺小。只要拥有忠诚、孝心和节操，何必追求长寿如乔松呢？,生死人常理，蜉蝣一样空。但存忠孝节，何必寿乔松。
孔明说：“我看这地图，发现失掉了关键道路，敌人占据山头筑寨。如果魏军大规模进攻，围住我们，切断水源道路，我们不出两天就会陷入困境。如果街亭失守，我们还怎么回去？”,孔明曰：“吾观此图本，失却要路，占山为寨。倘魏兵大至，四面围合，断汲水道路，不须二日，军自乱矣。若街亭有失，吾等安归？”
玄德让飞在前方，云长在后方；自己则在中间，负责保护年长者和年幼者。,玄德令飞在前，云长在后；自居于中，保护老小。
马的踪迹消失得无影无踪。,马不知走的那里去了。
段煨将军献上了华丽的服饰、珍贵的饮品和美味的膳食。,将军段煨，具衣服饮膳上献。
因此，雅丹对它感激不尽。,雅丹深感其德。
孔明带着三千名士兵离开了。,孔明亦与三千兵去了。
孔明回答说：“我很担心，可能活不了多久了。”,孔明答曰：“忧心如焚，命不久矣！”
甘宁站在船头，大声宣布：“我就是甘宁，谁敢与我对抗？”,为首一员大将，坐在船头上大呼曰：“吾乃甘宁也！谁敢来与我决战？”
维无法兼顾首尾，于是决定撤军夺取汉中。,维首尾不能相顾，遂收兵要夺汉中。
没有发现任何军队的驻扎，逊将信将疑，下马登上高处远望，杀气又重新弥漫开来。,回报并无军屯在此，逊不信，下马登高望之，杀气复起。
看到他，原来是中大夫赵咨。,视之，乃中大夫赵咨也。
玄德失去甘夫人后，日夜忧心。,却说玄德自没了甘夫人，昼夜烦恼。
听到这个消息，操欣然感到喜悦。,操闻知大喜。
从粉墙上取下墨笔，勾画一条龙，轻轻挥动袍袖，龙腹便自行打开。,取墨笔于粉墙上画一条龙，以袍袖一拂，龙腹自开。
众人看到的是司徒陈耽，他径直走进宫中，向皇帝进言道：“刘谏议犯了什么罪要被处决呢？”,众视之，乃司徒陈耽，径入宫中来谏帝曰：“刘谏议得何罪而受诛？”
突然传来消息，建威将军贾逵前来拜见，请勿让他进来。我问道：“你来干什么？”,忽报建威将军贾逵来见，休令入，问曰：“汝此来何为？”
孔明得知此事，是蜀将告诉他的。,蜀将闻知此事，报与孔明。
在懿的激烈战斗中，蜀军才刚刚退去。,懿大战一场，蜀兵方退。
已经有巡逻士兵报告给司马懿。,早有巡哨军飞报司马懿。
那些站在白旗下的人，都被赐予了赏赐，然后被命令返回许都。,其立于白旗下者，尽皆赏赐，仍令还许都。
真奏坦言：“本大臣才能平庸，智慧不足，难以胜任此职。”,真奏曰：“臣才疏智浅，不称其职。”
土人告诉他：“天水城的主人就是马太守。”,土人曰：“天水城中乃马太守也。”
打开营门，让两人进来。,遂开营门命二人入。
写完信后封好，让人送去相府；把之前收到的金银都封好放进库房，然后在堂上挂上汉寿亭侯的印信，请二夫人上车。,写毕封固，差人去相府投递；一面将累次所受金银，一一封置库中，悬汉寿亭侯印于堂上，请二夫人上车。
叙与尹奉、赵昂商讨军队事务。,叙乃与统兵校尉尹奉、赵昂商议。
当晚下令，彻底清除营地，沿着阴平小路进军，距离剑阁七百里处安营扎寨。有人报告钟会：“邓艾即将前往成都。”,当夜下令，尽拔寨望阴平小路进兵，离剑阁七百里下寨，有人报钟会说：“邓艾要去取成都了。”
马延拨了拨，便开始走动。,延拨马便走。
在司马懿大获全胜的攻势下，蜀军已经撤退回了营地。,司马懿大败一阵，奔入寨时，蜀兵已自回去。
策站起来走到栏杆旁，看到一个身穿鹤氅、手持藜杖的人站在路上，百姓们都点燃香火，恭敬地站在道路旁拜他。,策起身凭栏观之，见一道人，身披鹤氅，手携藜杖，立于当道，百姓俱焚香伏道而拜。
下令武士推出并执行斩首。,喝令武士推出斩之。
维直冲向武城山下，与邓艾展开战斗，但山上的魏兵却始终不肯下来。,维直来武城山下搦邓艾战，山上魏兵并不下来。
曹操听到这番话，张辽立刻回到他身边。,张辽再回，以此言报曹操。
霸说：“你试着说一下。”,霸曰：“公试言之。”
李典劝告，但没有听进去。,遂不听李典之言。
听到这话，肃然感到一阵迷茫，沉默片刻后才说：“我担心玄德会让我失望。”,肃闻言，呆了半晌，曰：“恐玄德不负我。”
绍说：“我曾派人去邀请过，但他却不愿意听从。”,绍曰：“吾尝遣使约之，奈彼未肯相从。”
当晚，玄德召集众人商讨此事。,玄德连夜与众商议此事。
孔明问：“有什么不方便的地方吗？”,孔明曰：“有何不便处？”
陆抗听到这个消息，让吴人无不欢欣。,吴人皆悦，来报陆抗。
孔明带着夫人走进洞口。,孔明遂送夫人入洞。
权说：“射你一箭的人是甘宁。”,权曰：“放箭救你者，甘宁也。”
孙权得知玄德已到，便让吕范好好接待他，并让他住在馆舍里休息。,孙权知玄德已到，教吕范相待，且就馆舍安歇。
一鹗胜过累百鸷鸟；一旦立于朝堂，定能有所作为。,鸷鸟累百，不如一鹗；使衡立朝，必有可观。
曹仁留守寨堡，曹操亲自率军跨越渭河。,留曹仁守寨，操自领兵渡渭河。
孔明重新驻军祁山，构建起五个大寨，分别位于左、右、中、前、后；从斜谷一直延伸至剑阁，又接连下了十四个大寨，将军队分散部署，以准备长期作战。,却说孔明复出祁山，下五个大寨，按左、右、中、前、后；自斜谷直至剑阁，一连又下十四个大寨，分屯军马，以为久计。
众人看到的是，诸葛亮的儿子诸葛尚站在那里。,众视之，乃瞻长子诸葛尚也。
张飞生气地说：“我一个人去就行，领着三千军队就能轻松夺取城池。”,张飞怒曰：“我并不要人相帮，只独领三千军去，稳取城池。”
庞统命令魏延和黄忠：“所有闯关的士兵，无论数量多少，无论是马军还是步军，都不要让他们活着回来。”,庞统分付魏延、黄忠：“但关上来的军士，不问多少，马步军兵，一个也休放回。”
平日说道：“趁热穿上它，不久就会好起来的。”,平曰：“乘热服之，少汗即愈。”
楼桑的玄德本是皇孙，他与关张结义，一心只愿扶助主君。四处奔波，居无定所，兵弱将寡，如同漂泊的旅人。,楼桑玄德本皇孙，义结关张愿扶主。东西奔走恨无家，将寡兵微作羁旅。
修栈道的士兵连续出征，不攻占中原绝不罢休。,连修栈道兵连出，不伐中原死不休。
孔明将降兵囚禁在后军，却将魏兵的盔甲穿戴在蜀兵五千人身上，伪装成魏兵，派关兴、廖化、吴班、吴懿四将率领着他们，直奔曹真寨而来；先派一名报马进入寨中声称：“只有少量蜀兵，都已经撤离了。”,孔明把降兵拘于后军，却将魏兵衣甲与蜀兵五千人穿了，扮作魏兵，令关兴、廖化、吴班、吴懿四将引着，径奔曹真寨来；先令报马入寨说：“只有些小蜀兵，尽赶去了。”
在恍惚中奔腾，仿佛一场即将降臨的骤雨；在纷纭杂沓中，仿佛一片即将融为一体的寒云。,恍惚奔腾，如骤雨之将至；纷纭杂沓，若寒云之欲同。
范着急地呼唤着陈应和鲍隆，让他们商议对策。,范急唤陈应、鲍隆商议。
张辽举起刀准备迎战。,张辽挥刀来迎。
貂蝉说：“我虽然年纪二八，但却是低贱的妾身。”,貂蝉曰：“贱妾年方二八。”
燕卵说：气含必变，依于宇堂；雌雄有形，羽翼舒张。,其一曰：含气须变，依乎宇堂；雌雄以形，羽翼舒张：此燕卵也。
关公和孙乾保护着二嫂前往汝南，却突然发现夏侯惇率领着一支三百多人的骑兵队伍从后面追了上来。,却说关公同孙乾保二嫂向汝南进发，不想夏侯惇领三百余骑，从后追来。
张飞勃然大怒，咬牙切齿，双眼圆睁，披挂上马，率领数百骑兵来到巴郡城下，准备迎战。,张飞大怒，咬牙睁目，披挂上马，引数百骑来巴郡城下搦战。
维振奋精神，与艾战对战十余回合，不分伯仲，紧接着后方的锣鼓声响起。,维抖擞精神，与艾战有十余合，不分胜负，后面锣鼓又鸣。
平对说：“猪也有龙一样的气势。龙附着在足上，预示着要升腾起来，不必怀疑或嫉妒。”,平对曰：“猪亦有龙象。龙附足，乃升腾之意，不必疑忌。”
泌说：“这是我的外甥寇封，是罗侯寇氏的儿子；因为父母去世，所以在这里依靠。”,泌曰：“此吾之甥寇封，本罗侯寇氏之子也；因父母双亡，故依于此。”
在火光的照耀下，姜维站在城下，手持长枪，骑着战马，高声喊道：“夏侯都督在哪里？请出来答话！”,火光中见姜维在城下挺枪勒马，大叫曰：“请夏侯都督答话！”
